run_id,phase,instrument_id,clay_body,wall_target,bore_profile,embouchure_geometry,mold_orientation,replicate,primary_response,decision_rule
SCF-R1-01,Round 1 screening,SCF-D4-01,Cone 6 stoneware,thin drain,cylindrical,round/standard oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-02,Round 1 screening,SCF-D4-01,Cone 6 stoneware,nominal drain,mild taper,long oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-03,Round 1 screening,SCF-D4-01,Cone 6 stoneware,thick drain,cylindrical,round/standard oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-04,Round 1 screening,SCF-D4-01,Cone 6 porcelain,thin drain,mild taper,round/standard oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-05,Round 1 screening,SCF-D4-01,Cone 6 porcelain,nominal drain,cylindrical,long oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-06,Round 1 screening,SCF-D4-01,Cone 6 porcelain,thick drain,mild taper,round/standard oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-07,Round 1 screening,SCF-G4-01,Cone 6 stoneware,thin drain,mild taper,long oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-08,Round 1 screening,SCF-G4-01,Cone 6 stoneware,nominal drain,cylindrical,round/standard oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-09,Round 1 screening,SCF-G4-01,Cone 6 stoneware,thick drain,mild taper,long oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-10,Round 1 screening,SCF-G4-01,Cone 6 porcelain,thin drain,cylindrical,long oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-11,Round 1 screening,SCF-G4-01,Cone 6 porcelain,nominal drain,mild taper,round/standard oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-12,Round 1 screening,SCF-G4-01,Cone 6 porcelain,thick drain,cylindrical,long oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-13,Round 1 screening,SCF-C5-01,Cone 6 stoneware,thin drain,cylindrical,round/standard oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-14,Round 1 screening,SCF-C5-01,Cone 6 stoneware,nominal drain,mild taper,long oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-15,Round 1 screening,SCF-C5-01,Cone 6 stoneware,thick drain,cylindrical,round/standard oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-16,Round 1 screening,SCF-C5-01,Cone 6 porcelain,thin drain,mild taper,round/standard oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-17,Round 1 screening,SCF-C5-01,Cone 6 porcelain,nominal drain,cylindrical,long oval,horizontal drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-18,Round 1 screening,SCF-C5-01,Cone 6 porcelain,thick drain,mild taper,round/standard oval,vertical drain,screening,"X/Y/Z shrink, playable response, cents error","Keep if no cracks, first octave speaks, median cents abs <= 35 after bisque tune."
SCF-R1-FAM-F4,Round 1 family check,SCF-F4-01,Best available from early screening,nominal drain,winner or cylindrical fallback,winner or standard oval fallback,winner or horizontal drain fallback,family fill-in,Interpolation across family range,Use to test whether shrink model interpolates between D4/G4/C5.
SCF-R1-FAM-A4,Round 1 family check,SCF-A4-01,Best available from early screening,nominal drain,winner or cylindrical fallback,winner or standard oval fallback,winner or horizontal drain fallback,family fill-in,Interpolation across family range,Use to test whether shrink model interpolates between G4/C5.
